Length,Generation
3412.3085083984056, 356
3412.3085083984056, 357
3412.3085083984056, 358
3412.3085083984056, 359
3412.3085083984056, 360
3412.3085083984056, 361
3412.3085083984056, 362
3412.3085083984056, 363
3412.3085083984056, 364
3412.3085083984056, 365
3412.3085083984056, 366
3412.3085083984056, 367
3412.3085083984056, 368
3412.3085083984056, 369
3412.3085083984056, 370
3412.3085083984056, 371
3412.3085083984056, 372
3412.3085083984056, 373
3412.3085083984056, 374
3412.3085083984056, 375
3412.3085083984056, 376
3412.3085083984056, 377
3412.3085083984056, 378
3412.3085083984056, 379
3412.3085083984056, 380
3412.3085083984056, 381
3412.3085083984056, 382
3412.3085083984056, 383
3412.3085083984056, 384
3412.3085083984056, 385
3412.3085083984056, 386
3412.3085083984056, 387
3412.3085083984056, 388
3412.3085083984056, 389
3412.3085083984056, 390
3412.3085083984056, 391
3412.3085083984056, 392
3412.3085083984056, 393
3412.3085083984056, 394
3412.3085083984056, 395
3412.3085083984056, 396
3412.3085083984056, 397
3412.3085083984056, 398
3412.3085083984056, 399
3412.3085083984056, 400
3412.3085083984056, 401
3412.3085083984056, 402
3412.3085083984056, 403
3412.3085083984056, 404
3412.3085083984056, 405
3412.3085083984056, 406
3412.3085083984056, 407
3412.3085083984056, 408
3412.3085083984056, 409
3412.3085083984056, 410
3412.3085083984056, 411
3412.3085083984056, 412
3412.3085083984056, 413
3412.3085083984056, 414
3412.3085083984056, 415
3412.3085083984056, 416
3412.3085083984056, 417
3412.3085083984056, 418
3412.3085083984056, 419
3412.3085083984056, 420
3412.3085083984056, 421
3412.3085083984056, 422
3412.3085083984056, 423
3412.3085083984056, 424
3412.3085083984056, 425
3412.3085083984056, 426
3412.3085083984056, 427
3412.3085083984056, 428
3412.3085083984056, 429
3412.3085083984056, 430
3412.3085083984056, 431
3412.3085083984056, 432
3412.3085083984056, 433
3412.3085083984056, 434
3412.3085083984056, 435
3412.3085083984056, 436
3412.3085083984056, 437
3412.3085083984056, 438
3412.3085083984056, 439
3412.3085083984056, 440
3412.3085083984056, 441
3412.3085083984056, 442
3412.3085083984056, 443
3412.3085083984056, 444
3412.3085083984056, 445
3412.3085083984056, 446
3412.3085083984056, 447
3412.3085083984056, 448
3412.3085083984056, 449
3412.3085083984056, 450
3412.3085083984056, 451
3412.3085083984056, 452
3412.3085083984056, 453
3412.3085083984056, 454
3412.3085083984056, 455
3412.3085083984056, 456
3412.3085083984056, 457
3412.3085083984056, 458
3412.3085083984056, 459
3412.3085083984056, 460
3412.3085083984056, 461
3412.3085083984056, 462
3412.3085083984056, 463
3412.3085083984056, 464
3412.3085083984056, 465
3412.3085083984056, 466
3412.3085083984056, 467
3412.3085083984056, 468
3412.3085083984056, 469
3412.3085083984056, 470
3412.3085083984056, 471
3412.3085083984056, 472
3412.3085083984056, 473
3412.3085083984056, 474
3412.3085083984056, 475
3412.3085083984056, 476
3412.3085083984056, 477
3412.3085083984056, 478
3412.3085083984056, 479
3412.3085083984056, 480
3412.3085083984056, 481
3412.3085083984056, 482
3412.3085083984056, 483
3412.3085083984056, 484
3412.3085083984056, 485
3412.3085083984056, 486
3412.3085083984056, 487
3412.3085083984056, 488
3412.3085083984056, 489
3412.3085083984056, 490
3412.3085083984056, 491
3412.3085083984056, 492
3412.3085083984056, 493
3412.3085083984056, 494
3412.3085083984056, 495
3412.3085083984056, 496
3412.3085083984056, 497
3412.3085083984056, 498
3412.3085083984056, 499
3412.3085083984056, 500
