Length,Generation
5453.882817494583, 1040
5453.882817494583, 1044
5453.882817494583, 1047
5453.882817494583, 1048
5453.882817494583, 1049
5453.882817494583, 1051
5453.882817494583, 1053
5453.882817494583, 1063
5453.882817494583, 1066
5453.882817494583, 1072
5453.882817494583, 1076
5453.882817494583, 1077
5453.882817494583, 1082
5453.882817494583, 1086
5453.882817494583, 1087
5453.882817494583, 1088
5453.882817494583, 1089
5453.882817494583, 1093
5453.882817494583, 1096
5453.882817494583, 1097
5453.882817494583, 1100
5453.882817494583, 1101
5453.882817494583, 1107
5453.882817494583, 1115
5453.882817494583, 1118
5453.882817494583, 1119
5453.882817494583, 1133
5453.882817494583, 1138
5453.882817494583, 1142
5449.494320375198, 1146
5449.494320375198, 1148
5449.494320375198, 1151
5449.494320375198, 1152
5449.494320375198, 1161
5449.494320375198, 1164
5438.499074685088, 1166
5438.499074685088, 1168
5438.499074685088, 1171
5438.499074685088, 1174
5438.499074685088, 1175
5438.499074685088, 1187
5438.499074685088, 1192
5435.520892869009, 1194
5435.520892869009, 1200
5435.520892869009, 1209
5435.520892869009, 1212
5435.520892869009, 1213
5435.520892869009, 1215
5435.520892869009, 1223
5435.520892869009, 1224
5435.520892869009, 1229
5435.520892869009, 1231
5435.520892869009, 1245
5435.520892869009, 1246
5435.520892869009, 1247
5419.474148770223, 1248
5291.409603613404, 1251
5291.409603613404, 1253
5291.409603613404, 1258
5291.409603613404, 1260
5291.409603613404, 1267
5291.409603613404, 1271
5291.409603613404, 1274
5291.409603613404, 1279
5291.409603613404, 1294
5291.409603613404, 1296
5291.409603613404, 1297
5291.409603613404, 1299
5291.409603613404, 1300
5291.409603613404, 1307
5291.409603613404, 1310
5291.409603613404, 1317
5291.409603613404, 1320
5291.409603613404, 1337
5291.409603613404, 1341
5291.409603613404, 1345
5291.409603613404, 1352
5291.409603613404, 1353
5291.409603613404, 1355
5291.409603613404, 1358
5291.409603613404, 1361
5291.409603613404, 1364
5256.408878434561, 1369
5256.408878434561, 1370
5256.408878434561, 1371
5256.408878434561, 1377
5256.408878434561, 1386
5256.408878434561, 1388
5256.408878434561, 1393
5256.408878434561, 1402
5256.408878434561, 1404
5256.408878434561, 1420
5256.408878434561, 1432
5256.408878434561, 1433
5238.047784727895, 1443
5238.047784727895, 1444
5238.047784727895, 1446
5238.047784727895, 1449
5238.047784727895, 1450
5238.047784727895, 1456
5238.047784727895, 1464
5238.047784727895, 1467
5238.047784727895, 1470
5238.047784727895, 1471
5238.047784727895, 1475
5238.047784727895, 1479
5238.047784727895, 1480
5238.047784727895, 1483
5238.047784727895, 1487
5238.047784727895, 1489
5238.047784727895, 1490
5238.047784727895, 1499
5238.047784727895, 1510
5238.047784727895, 1513
5238.047784727895, 1521
5238.047784727895, 1526
5219.74388990331, 1543
5219.74388990331, 1551
5219.74388990331, 1553
5219.74388990331, 1560
5219.74388990331, 1567
5165.951111504811, 1572
5165.951111504811, 1573
5165.951111504811, 1574
5165.951111504811, 1575
5165.951111504811, 1579
5165.951111504811, 1585
5165.951111504811, 1592
5165.951111504811, 1593
5165.951111504811, 1596
5165.951111504811, 1599
5165.951111504811, 1600
5165.951111504811, 1611
5165.951111504811, 1613
5165.951111504811, 1619
5165.951111504811, 1622
5165.951111504811, 1627
5165.951111504811, 1635
5165.951111504811, 1638
5165.951111504811, 1639
5114.534018801103, 1647
5114.534018801103, 1648
5114.534018801103, 1661
5114.534018801103, 1663
5114.534018801103, 1665
5114.534018801103, 1668
5114.534018801103, 1670
5114.534018801103, 1672
5114.534018801103, 1683
5114.534018801103, 1684
5114.534018801103, 1691
5114.534018801103, 1695
5114.534018801103, 1696
5114.534018801103, 1699
5057.832118973993, 1701
5057.832118973993, 1705
5057.832118973993, 1709
5057.832118973993, 1714
5057.832118973993, 1720
5057.832118973993, 1723
5057.832118973993, 1727
5057.832118973993, 1728
5057.832118973993, 1732
5057.832118973993, 1737
5057.832118973993, 1742
5057.832118973993, 1746
5057.832118973993, 1757
5057.832118973993, 1759
4913.414589617305, 1766
4913.414589617305, 1771
4913.414589617305, 1774
4913.414589617305, 1778
4913.414589617305, 1779
4913.414589617305, 1787
4913.414589617305, 1788
4913.414589617305, 1790
4913.414589617305, 1805
4852.046362635074, 1806
4852.046362635074, 1807
4852.046362635074, 1817
4852.046362635074, 1818
4852.046362635074, 1824
4852.046362635074, 1827
4852.046362635074, 1829
4852.046362635074, 1840
